Item	Answer
1. Lang Name (In Local Lang)	English
2. Lang Name (In English)	English
3. Lang Name (In Reg/Ntnl Lang)	English
4. Ethnologue code	eng
5. Country	USA
6. Variant info	1
7. Game Name (In Local Lang)	Alpha Tiles: Ready to Read
8. Script direction (LTR or RTL)	LTR
9. Audio and image credits	Images by Flaticon used under a Premium License held by SIL Global. And by Illustrations ARCODI. © 2025, Instituto Lingüístico de Verano, A.C. Used under a Creative Commons Attribution-ShareAlike license. (CC BY-SA). Audio by Matt Gray, Laurel Penner, Kris Toler and Peter Wulfing (shared with permission).
10. The word NAME in local language	Player
11. Script type	Roman
12. Email	alpha_tiles@sil.org
13. Privacy Policy	https://alphatilesapps.org/privacypolicy.html
14. Audio and image credits (lang 2)	none
